rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00001,"When Kinematic is unusual relative to Geometric and Sampling Gaps is unusual relative to Indentation, Acceleration is also unusual relative to Indentation.",30 of 31 matching trajectories (96.8%) also showed this outcome; this is 7.9× its overall rate.,31,30,0.019342359767891684,0.15873015873015872,0.967741935483871,7.9416282642089095,216.1904761904762,finite,78;132;179;232;384;406;454;461;549;552;554;575;737;824;846;876;934;992;1014;1015;1020;1042;1158;1182;1195;1236;1284;1306;1415;1424;1432
R00002,"When Phase Change is unusual relative to Localization and SpatioTemporal Dynamics is unusual relative to Spatial Context, Path Evolution is also unusual relative to Localization.",29 of 31 matching trajectories (93.5%) also showed this outcome; this is 8.8× its overall rate.,31,29,0.018697614442295292,0.17575757575757575,0.9354838709677419,8.793548387096774,121.8,finite,95;125;177;195;386;539;541;579;611;617;725;737;740;800;910;921;936;938;949;962;1042;1045;1049;1075;1143;1165;1176;1179;1360;1448;1531
R00003,"When SpatioTemporal Dynamics is unusual relative to Geometric and Phase Change is unusual relative to Localization, Path Evolution is also unusual relative to Localization.",28 of 30 matching trajectories (93.3%) also showed this outcome; this is 8.8× its overall rate.,30,28,0.018052869116698903,0.1696969696969697,0.9333333333333333,8.773333333333333,117.60000000000001,finite,95;132;236;360;362;386;454;542;559;560;723;737;762;770;810;868;901;921;938;949;1032;1042;1045;1165;1176;1360;1415;1425;1431;1446
R00004,"When Extent is unusual relative to Sampling Gaps and Speed is unusual relative to Sequence Complexity, Localization is also unusual relative to Sampling Gaps.",28 of 30 matching trajectories (93.3%) also showed this outcome; this is 8.3× its overall rate.,30,28,0.018052869116698903,0.16,0.9333333333333333,8.272,110.08,finite,138;174;213;249;304;306;407;459;557;593;666;720;736;752;773;776;816;837;853;898;932;1024;1028;1285;1319;1411;1422;1434;1436;1537
R00005,"When Phase Change is unusual relative to Displacement and SpatioTemporal Dynamics is unusual relative to Geometric, Path Evolution is also unusual relative to Displacement.",25 of 27 matching trajectories (92.6%) also showed this outcome; this is 9.2× its overall rate.,27,25,0.016118633139909737,0.16025641025641027,0.9259259259259259,9.205840455840455,111.77884615384616,finite,95;371;374;377;560;564;656;721;723;733;810;868;918;921;1015;1026;1042;1045;1165;1175;1176;1360;1371;1398;1415;1451;1476
R00006,"When Acceleration is unusual relative to Duration and Phase Change is unusual relative to Sequence Complexity, Path Evolution is also unusual relative to Duration.",36 of 39 matching trajectories (92.3%) also showed this outcome; this is 7.6× its overall rate.,39,36,0.02321083172147002,0.19148936170212766,0.9230769230769231,7.615384615384616,87.0,finite,72;73;174;213;304;321;361;364;366;407;444;451;554;609;661;714;720;730;736;773;816;917;918;934;938;1014;1024;1041;1042;1049;1120;1144;1375;1404;1425;1431;1444;1476;1544
R00007,"When Acceleration is unusual relative to Indentation and Temporal is unusual relative to Geometric, Kinematic is also unusual relative to Geometric.",35 of 38 matching trajectories (92.1%) also showed this outcome; this is 9.9× its overall rate.,38,35,0.02256608639587363,0.2413793103448276,0.9210526315789473,9.852087114337568,113.12643678160919,finite,132;179;232;377;384;407;454;461;552;554;559;595;686;694;733;792;810;824;868;898;932;934;938;1014;1015;1041;1042;1116;1158;1175;1182;1195;1284;1306;1361;1415;1432;1476
R00008,"When Phase Change is unusual relative to Extent and SpatioTemporal Dynamics is unusual relative to Spatial Context, Path Evolution is also unusual relative to Extent.",34 of 37 matching trajectories (91.9%) also showed this outcome; this is 9.8× its overall rate.,37,34,0.02192134107027724,0.2328767123287671,0.918918918918919,9.761940022213995,109.06392694063925,finite,76;164;277;329;368;371;373;449;458;539;541;579;617;618;627;707;740;921;931;938;999;1042;1044;1045;1049;1071;1143;1165;1174;1176;1237;1262;1362;1448;1451;1476;1531
R00009,"When Phase Change is unusual relative to Displacement and SpatioTemporal Dynamics is unusual relative to Spatial Context, Path Evolution is also unusual relative to Displacement.",31 of 34 matching trajectories (91.2%) also showed this outcome; this is 9.1× its overall rate.,34,31,0.019987105093488073,0.1987179487179487,0.9117647058823529,9.065045248868778,92.40384615384615,finite,62;95;195;329;368;371;373;499;539;579;617;627;656;721;725;739;740;815;921;962;999;1015;1042;1045;1049;1075;1143;1165;1176;1360;1362;1448;1451;1476
R00010,"When Phase Change is unusual relative to Duration and Localization is unusual relative to Sequence Complexity, Path Evolution is also unusual relative to Duration.",30 of 33 matching trajectories (90.9%) also showed this outcome; this is 7.5× its overall rate.,33,30,0.019342359767891684,0.1595744680851064,0.9090909090909091,7.499999999999999,72.5,finite,11;72;73;174;213;237;304;321;361;366;407;436;554;597;609;661;669;720;736;816;905;917;918;933;934;935;1014;1024;1036;1041;1120;1404;1444
R00011,"When Phase Change is unusual relative to Duration and Speed is unusual relative to Sequence Complexity, Path Evolution is also unusual relative to Duration.",30 of 33 matching trajectories (90.9%) also showed this outcome; this is 7.5× its overall rate.,33,30,0.019342359767891684,0.1595744680851064,0.9090909090909091,7.499999999999999,72.5,finite,72;73;96;174;213;237;304;321;361;366;407;444;560;661;666;720;736;762;773;816;917;918;934;1014;1024;1036;1041;1120;1162;1286;1404;1425;1444
R00012,"When Kinematic is unusual relative to Geometric and Phase Change is unusual relative to Sequence Complexity, Temporal is also unusual relative to Geometric.",29 of 32 matching trajectories (90.6%) also showed this outcome; this is 9.9× its overall rate.,32,29,0.018697614442295292,0.20422535211267606,0.90625,9.898547535211268,95.91784037558686,finite,174;384;398;407;461;463;522;554;712;736;824;873;898;917;918;932;934;938;1014;1028;1041;1042;1066;1161;1170;1175;1182;1306;1404;1415;1431;1432
R00013,"When Kinematic is unusual relative to Geometric and Phase Change is unusual relative to Indentation, Acceleration is also unusual relative to Indentation.",38 of 42 matching trajectories (90.5%) also showed this outcome; this is 7.4× its overall rate.,42,38,0.024500322372662798,0.20105820105820105,0.9047619047619048,7.424792139077853,68.46031746031746,finite,132;179;377;384;407;454;461;463;540;549;554;559;595;694;712;733;737;792;810;824;898;918;920;932;934;938;954;1014;1015;1041;1042;1071;1158;1175;1182;1195;1284;1306;1313;1353;1415;1432
