meta_pattern_id,pattern,interpretation,n_covered,coverage_ratio,n_source_rules,representative_rule_id,mean_source_confidence,mean_source_lift,pattern_importance_score,covered_trajectory_ids
MP00001,Acceleration Dynamics is uncommon in at least 2 retained comparisons and Speed Dynamics is uncommon in at least 1 retained comparison,This meta-pattern summarizes recurring pairwise rules where Acceleration Dynamics is uncommon in at least 2 retained comparisons and Speed Dynamics is uncommon in at least 1 retained comparison. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,123,0.04575892857142857,11,R00171,0.8844955535140113,8.328429694273895,88.23507587597317,10;27;53;56;76;105;121;173;174;181;276;291;306;334;339;343;347;369;408;421;427;454;477;497;516;531;536;539;636;640;647;665;671;691;704;736;738;757;776;793;814;821;840;870;911;936;944;958;972;987;1006;1011;1018;1032;1081;1125;1148;1151;1155;1186;1210;1231;1276;1277;1307;1331;1334;1353;1378;1428;1457;1463;1467;1508;1529;1533;1558;1564;1617;1649;1663;1670;1692;1749;1759;1762;1805;1811;1850;1854;1880;1897;2049;2091;2104;2116;2141;2196;2213;2225;2299;2303;2313;2323;2327;2334;2346;2353;2354;2355;2386;2477;2486;2495;2496;2498;2558;2560;2562;2618;2636;2645;2688
MP00002,Acceleration Dynamics is uncommon in at least 2 retained comparisons and Temporal Sequential Context is uncommon in at least 1 retained comparison,This meta-pattern summarizes recurring pairwise rules where Acceleration Dynamics is uncommon in at least 2 retained comparisons and Temporal Sequential Context is uncommon in at least 1 retained comparison. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,144,0.05357142857142857,10,R00053,0.869939299416135,7.855623155463048,81.55380154477686,8;27;53;56;64;76;80;81;97;101;106;128;130;181;199;261;276;281;284;306;337;342;361;364;366;368;377;383;434;462;497;516;572;661;671;691;704;714;760;787;797;821;826;835;840;844;862;869;870;890;901;920;929;972;1032;1039;1049;1125;1127;1130;1144;1151;1235;1277;1299;1302;1326;1350;1352;1357;1358;1363;1378;1394;1463;1467;1508;1529;1546;1558;1568;1604;1625;1634;1663;1669;1670;1703;1711;1732;1749;1762;1770;1811;1813;1878;1880;1891;1939;1943;1986;2007;2054;2070;2110;2196;2201;2215;2232;2233;2244;2301;2303;2323;2329;2334;2353;2354;2355;2360;2363;2380;2440;2449;2460;2477;2486;2495;2498;2509;2520;2536;2540;2575;2596;2617;2627;2629;2634;2635;2640;2647;2674;2688
MP00003,Acceleration Dynamics is uncommon in at least 1 retained comparison and Temporal Sequential Context is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Acceleration Dynamics is uncommon in at least 1 retained comparison and Temporal Sequential Context is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,142,0.05282738095238095,7,R00038,0.8872788943661506,8.438947961710243,77.27265864517331,8;27;53;56;63;64;67;76;80;81;87;97;101;106;130;178;181;187;199;246;261;272;276;281;284;306;313;337;366;376;377;434;462;497;516;524;571;572;582;605;646;661;671;714;753;760;797;826;840;844;862;869;929;972;1012;1032;1051;1094;1125;1127;1130;1132;1151;1180;1235;1277;1292;1299;1302;1326;1352;1358;1363;1378;1394;1467;1505;1507;1508;1529;1544;1558;1625;1633;1634;1663;1669;1670;1697;1703;1711;1749;1762;1811;1878;1880;1891;1921;1923;1939;1943;1986;1995;2007;2054;2070;2102;2110;2196;2201;2215;2232;2233;2242;2244;2303;2329;2349;2354;2355;2360;2363;2380;2382;2428;2440;2449;2462;2495;2498;2509;2520;2540;2575;2596;2617;2627;2635;2671;2674;2686;2688
MP00004,Curvature Geometry is uncommon in at least 1 retained comparison and Spatial Reach and Route is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Curvature Geometry is uncommon in at least 1 retained comparison and Spatial Reach and Route is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,124,0.046130952380952384,7,R00028,0.8815161511590084,8.657260116667006,76.62190377116475,6;12;14;42;43;64;70;72;84;100;114;142;144;156;195;265;269;277;295;328;333;342;345;348;379;387;404;405;432;444;448;466;509;540;565;570;583;591;592;599;655;699;726;755;756;800;859;878;891;939;950;988;996;1023;1042;1069;1070;1074;1153;1158;1171;1176;1179;1239;1281;1297;1338;1391;1409;1419;1444;1480;1493;1597;1677;1695;1726;1731;1732;1746;1755;1767;1772;1822;1829;1842;1862;1863;1920;1950;1973;1993;2009;2010;2022;2037;2040;2048;2053;2143;2151;2205;2234;2239;2264;2289;2332;2347;2357;2364;2390;2395;2429;2458;2493;2545;2546;2590;2604;2606;2633;2650;2665;2687
MP00005,Speed Dynamics is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Speed Dynamics is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,122,0.04538690476190476,10,R00033,0.8772233598111887,7.53182651238073,76.24001348291213,13;35;56;62;74;105;121;141;213;247;252;275;291;306;315;328;343;345;397;408;409;416;428;429;433;438;453;461;489;516;602;624;635;690;729;736;744;750;788;790;837;849;886;887;889;893;945;959;972;989;1050;1051;1084;1097;1151;1225;1261;1290;1291;1305;1311;1343;1354;1368;1397;1410;1411;1446;1457;1485;1488;1516;1533;1534;1542;1549;1624;1626;1631;1633;1649;1670;1687;1747;1750;1754;1759;1802;1809;1811;1824;1851;1854;1876;1880;1897;1907;1918;1924;1968;1976;2013;2025;2067;2090;2183;2225;2358;2377;2386;2406;2445;2498;2505;2506;2528;2529;2530;2543;2548;2613;2618
MP00006,Acceleration Dynamics is uncommon in at least 1 retained comparison and Speed Dynamics is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Acceleration Dynamics is uncommon in at least 1 retained comparison and Speed Dynamics is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,119,0.044270833333333336,10,R00036,0.8589351218368755,7.60997587167442,75.03811065533024,53;56;76;118;173;174;276;291;306;327;334;343;347;369;408;421;422;454;477;489;492;497;516;522;531;536;547;636;671;682;691;701;704;717;738;757;793;814;840;870;911;936;943;958;972;987;1007;1011;1018;1031;1032;1046;1148;1151;1180;1186;1210;1231;1258;1263;1276;1277;1307;1331;1353;1378;1428;1457;1467;1508;1510;1529;1533;1617;1649;1663;1670;1692;1742;1749;1751;1759;1762;1792;1854;1880;1897;1938;1981;1996;2049;2091;2104;2116;2141;2196;2213;2225;2299;2313;2323;2327;2334;2346;2347;2349;2354;2355;2477;2486;2495;2496;2498;2534;2541;2562;2618;2636;2645
MP00007,Spatial Reach and Route is uncommon in at least 2 retained comparisons and Temporal Sequential Context is uncommon in at least 1 retained comparison,This meta-pattern summarizes recurring pairwise rules where Spatial Reach and Route is uncommon in at least 2 retained comparisons and Temporal Sequential Context is uncommon in at least 1 retained comparison. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,131,0.04873511904761905,9,R00078,0.8472118670394533,7.815828155784391,74.44779307702582,14;26;43;44;53;64;70;76;77;92;114;131;181;195;199;201;215;218;284;314;342;434;452;548;571;572;583;591;592;608;655;713;751;752;791;792;798;817;869;870;890;968;971;997;1064;1069;1070;1071;1135;1138;1142;1144;1158;1171;1215;1235;1257;1284;1285;1302;1305;1352;1357;1378;1394;1407;1413;1423;1480;1495;1502;1505;1507;1508;1535;1558;1592;1675;1679;1689;1695;1703;1722;1731;1732;1733;1770;1772;1822;1841;1869;1902;1903;1916;1938;1950;1952;1968;1973;1988;1995;1999;2009;2022;2037;2046;2048;2158;2233;2239;2284;2289;2291;2312;2351;2355;2376;2418;2449;2460;2466;2509;2540;2575;2590;2606;2627;2633;2663;2685;2686
MP00008,Acceleration Dynamics is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Acceleration Dynamics is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,120,0.044642857142857144,10,R00003,0.8686493839282561,7.410637769497316,74.0270631729071,15;56;101;105;110;112;121;139;141;187;213;244;245;249;270;291;306;343;384;408;418;443;487;489;516;553;569;572;588;605;607;629;631;654;660;678;730;735;736;754;760;787;816;845;862;863;888;890;907;972;1016;1019;1051;1083;1114;1118;1123;1130;1151;1165;1196;1221;1225;1235;1304;1405;1457;1507;1533;1541;1546;1585;1627;1633;1649;1652;1670;1676;1690;1691;1711;1759;1764;1798;1811;1849;1854;1880;1897;1915;1943;1971;2006;2025;2054;2110;2128;2148;2170;2180;2199;2225;2282;2287;2344;2382;2386;2462;2487;2498;2536;2538;2596;2607;2618;2629;2632;2646;2665;2683
MP00009,Speed Dynamics is uncommon in at least 1 retained comparison and Temporal Sequential Context is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Speed Dynamics is uncommon in at least 1 retained comparison and Temporal Sequential Context is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,111,0.041294642857142856,7,R00032,0.8644168924528745,8.65737620915137,73.4277307738178,13;27;53;56;76;155;168;181;195;253;275;276;306;326;355;433;497;516;552;596;608;671;703;711;728;737;752;766;792;840;874;892;898;972;1032;1051;1099;1125;1135;1138;1139;1151;1180;1257;1261;1274;1277;1278;1284;1290;1305;1315;1347;1368;1378;1413;1424;1451;1467;1484;1488;1489;1508;1527;1529;1531;1544;1557;1558;1563;1622;1633;1636;1663;1670;1721;1733;1749;1762;1811;1831;1860;1867;1877;1880;1918;1941;1968;2013;2102;2115;2183;2196;2197;2291;2303;2349;2351;2354;2355;2414;2492;2495;2498;2505;2514;2548;2554;2633;2655;2688
MP00010,Temporal Sequential Context is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons,This meta-pattern summarizes recurring pairwise rules where Temporal Sequential Context is uncommon in at least 1 retained comparison and Turning Dynamics is uncommon in at least 2 retained comparisons. It should be read as persistent taxonomy-level uncommonness rather than a single isolated comparison.,114,0.04241071428571429,8,R00002,0.89723446616789,7.701512044311048,72.04210598771726,13;44;56;101;108;131;141;187;213;245;247;275;306;308;315;399;433;453;516;572;583;585;605;624;655;676;712;725;760;769;787;849;862;886;890;935;972;979;993;1044;1051;1069;1078;1103;1124;1130;1151;1235;1261;1286;1290;1305;1339;1342;1368;1423;1448;1474;1488;1507;1516;1526;1541;1546;1610;1628;1633;1670;1687;1689;1711;1782;1811;1820;1843;1880;1881;1907;1918;1943;1952;1968;2013;2015;2030;2036;2054;2089;2092;2110;2112;2127;2148;2158;2183;2185;2296;2319;2377;2382;2404;2431;2462;2468;2498;2505;2536;2548;2551;2596;2598;2606;2629;2683
