rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00001,"When Curvature Geometry is unusual relative to Temporal Sequential Context and Turning Dynamics is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Speed Dynamics.",25 of 26 matching trajectories (96.2%) also showed this outcome; this is 9.6× its overall rate.,26,25,0.016118633139909737,0.16129032258064516,0.9615384615384616,9.621588089330025,225.16129032258064,finite,22;42;111;168;181;286;352;373;532;654;655;672;691;823;1187;1201;1249;1259;1332;1405;1437;1460;1483;1504;1527;1530
R00002,"When Acceleration Dynamics is unusual relative to Turning Dynamics and Curvature Geometry is unusual relative to Spatial Reach and Route, Curvature Geometry is also unusual relative to Turning Dynamics.",20 of 21 matching trajectories (95.2%) also showed this outcome; this is 8.2× its overall rate.,21,20,0.012894906511927788,0.11049723756906077,0.9523809523809523,8.161010260457774,151.38121546961327,finite,125;164;200;303;345;412;441;444;455;511;627;725;778;903;1049;1075;1174;1179;1228;1255;1314
R00003,"When Acceleration Dynamics is unusual relative to Turning Dynamics and Curvature Geometry is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Turning Dynamics.",20 of 21 matching trajectories (95.2%) also showed this outcome; this is 8.2× its overall rate.,21,20,0.012894906511927788,0.11049723756906077,0.9523809523809523,8.161010260457774,151.38121546961327,finite,44;64;144;147;345;357;412;441;455;650;714;725;758;938;1049;1099;1112;1195;1228;1255;1452
R00004,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Turning Dynamics is unusual relative to Temporal Sequential Context, Turning Dynamics is also unusual relative to Acceleration Dynamics.",20 of 21 matching trajectories (95.2%) also showed this outcome; this is 7.6× its overall rate.,21,20,0.012894906511927788,0.10256410256410256,0.9523809523809523,7.575091575091575,139.07692307692307,finite,8;16;67;126;250;260;334;388;431;437;443;748;775;830;843;919;984;1242;1247;1302;1402
R00005,"When Acceleration Dynamics is unusual relative to Turning Dynamics and Temporal Sequential Context is unusual relative to Speed Dynamics, Temporal Sequential Context is also unusual relative to Turning Dynamics.",21 of 23 matching trajectories (91.3%) also showed this outcome; this is 7.7× its overall rate.,23,21,0.013539651837524178,0.11413043478260869,0.9130434782608695,7.696361058601133,78.00815217391303,finite,124;132;217;357;377;396;541;546;554;650;714;733;758;810;938;1015;1042;1049;1112;1195;1410;1415;1476
R00006,"When Curvature Geometry is unusual relative to Acceleration Dynamics and Turning Dynamics is unusual relative to Speed Dynamics, Turning Dynamics is also unusual relative to Acceleration Dynamics.",20 of 22 matching trajectories (90.9%) also showed this outcome; this is 7.2× its overall rate.,22,20,0.012894906511927788,0.10256410256410256,0.9090909090909091,7.230769230769231,69.53846153846153,finite,22;28;48;76;286;307;309;425;426;430;479;574;654;662;672;963;1114;1357;1413;1416;1437;1508
R00007,"When Curvature Geometry is unusual relative to Speed Dynamics and Turning Dynamics is unusual relative to Temporal Sequential Context, Curvature Geometry is also unusual relative to Temporal Sequential Context.",25 of 28 matching trajectories (89.3%) also showed this outcome; this is 11.1× its overall rate.,28,25,0.016118633139909737,0.2,0.8928571428571429,11.07857142857143,95.06666666666668,finite,22;111;168;181;270;286;352;373;619;641;654;655;672;691;722;823;1187;1201;1249;1259;1332;1405;1437;1460;1470;1483;1530;1534
R00008,"When Curvature Geometry is unusual relative to Speed Dynamics and Turning Dynamics is unusual relative to Temporal Sequential Context, Turning Dynamics is also unusual relative to Speed Dynamics.",25 of 28 matching trajectories (89.3%) also showed this outcome; this is 7.6× its overall rate.,28,25,0.016118633139909737,0.1366120218579235,0.8928571428571429,7.567330210772834,62.29508196721312,finite,22;111;168;181;270;286;352;373;619;641;654;655;672;691;722;823;1187;1201;1249;1259;1332;1405;1437;1460;1470;1483;1530;1534
R00009,"When Curvature Geometry is unusual relative to Temporal Sequential Context and Turning Dynamics is unusual relative to Speed Dynamics, Turning Dynamics is also unusual relative to Temporal Sequential Context.",23 of 26 matching trajectories (88.5%) also showed this outcome; this is 6.6× its overall rate.,26,23,0.014829142488716958,0.11004784688995216,0.8846153846153846,6.564777327935222,49.228070175438596,finite,22;42;111;168;181;286;352;373;532;654;655;672;691;823;1187;1201;1249;1259;1332;1405;1437;1460;1483;1504;1527;1530
R00010,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Curvature Geometry is unusual relative to Turning Dynamics, Acceleration Dynamics is also unusual relative to Turning Dynamics.",21 of 24 matching trajectories (87.5%) also showed this outcome; this is 7.2× its overall rate.,24,21,0.013539651837524178,0.1111111111111111,0.875,7.180555555555555,50.444444444444436,finite,64;125;164;200;303;345;412;441;444;511;618;778;903;1049;1116;1174;1179;1195;1228;1255;1314;1464;1476;1492
